label	xPos	yPos	vote	north	
68	83.736	-84.8069	-0.942959	0.169798	
69	83.736	-84.8069	-0.10035	0.169798	
70	83.736	-84.8069	-0.375565	0.169798	
71	83.1946	-83.2864	-1.60514	0.0958701	
72	83.1946	-83.2864	0.514979	0.0958701	
73	83.1946	-83.2864	-0.871662	0.0958701	
74	83.1946	-83.2864	-0.964721	0.0958701	
75	83.1946	-83.2864	-0.966192	0.0958701	
76	83.1946	-83.2864	-0.775529	0.0958701	
77	83.1946	-83.2864	0.629301	0.0958701	
78	83.1946	-83.2864	-0.352728	0.0958701	
79	83.1946	-83.2864	-0.105426	0.0958701	
80	83.1946	-83.2864	-0.794751	0.0958701	
81	83.1946	-83.2864	0.200113	0.0958701	
82	83.1946	-83.2864	-0.229384	0.0958701	
83	83.1946	-83.2864	-0.676438	0.0958701	
84	83.1946	-83.2864	-2.14494	0.0958701	
85	83.1946	-83.2864	-0.815459	0.0958701	
86	83.1946	-83.2864	-0.0435847	0.0958701	
87	83.1946	-83.2864	-1.25721	0.0958701	
88	83.1946	-83.2864	-1.04625	0.0958701	
89	83.1946	-83.2864	0.582626	0.0958701	
90	83.1946	-83.2864	0.787244	0.0958701	
91	83.1946	-83.2864	0.535067	0.0958701	
92	83.1946	-83.2864	-1.60516	0.0958701	
93	83.1946	-83.2864	2.5936	0.0958701	
94	83.1946	-83.2864	-0.90577	0.0958701	
95	82.1967	-82.1825	0.519926	0.0872142	
96	82.1967	-82.1825	-1.71023	0.0872142	
97	82.1967	-82.1825	-1.0359	0.0872142	
98	82.1967	-82.1825	-0.124332	0.0872142	
99	82.1967	-82.1825	0.524729	0.0872142	
100	82.1967	-82.1825	-1.03781	0.0872142	
101	82.1967	-82.1825	0.648006	0.0872142	
102	82.1967	-82.1825	-1.09148	0.0872142	
103	82.1967	-82.1825	-1.1631	0.0872142	
104	82.1967	-82.1825	-1.05153	0.0872142	
105	82.1967	-82.1825	-1.07415	0.0872142	
106	82.1967	-82.1825	0.488954	0.0872142	
107	82.1967	-82.1825	-0.442823	0.0872142	
108	82.1967	-82.1825	0.483291	0.0872142	
109	82.1967	-82.1825	-0.373484	0.0872142	
110	82.1967	-82.1825	-0.271661	0.0872142	
111	82.1967	-82.1825	-1.01217	0.0872142	
112	82.1967	-82.1825	-0.074759	0.0872142	
113	82.1967	-82.1825	2.69285	0.0872142	
114	82.1967	-82.1825	0.651804	0.0872142	
115	82.1967	-82.1825	-0.751959	0.0872142	
116	82.1967	-82.1825	1.24036	0.0872142	
117	82.1967	-82.1825	0.895513	0.0872142	
118	81.9131	-81.257	0.586618	0.0711075	
119	81.9131	-81.257	-0.115119	0.0711075	
120	81.9131	-81.257	0.576238	0.0711075	
121	81.9131	-81.257	0.564547	0.0711075	
122	81.9131	-81.257	0.539776	0.0711075	
123	81.9131	-81.257	-1.06572	0.0711075	
124	81.9131	-81.257	0.54626	0.0711075	
125	81.9131	-81.257	1.29038	0.0711075	
126	81.9131	-81.257	0.909857	0.0711075	
127	81.9131	-81.257	0.937222	0.0711075	
128	81.9131	-81.257	-1.19985	0.0711075	
129	81.9131	-81.257	0.754311	0.0711075	
130	81.9131	-81.257	-1.28493	0.0711075	
131	81.9131	-81.257	0.822833	0.0711075	
132	81.9131	-81.257	-0.475584	0.0711075	
133	81.9131	-81.257	-0.783795	0.0711075	
134	81.9131	-81.257	0.487408	0.0711075	
135	81.9131	-81.257	1.20071	0.0711075	
136	81.9131	-81.257	-1.15445	0.0711075	
137	81.9131	-81.257	1.31507	0.0711075	
138	81.9131	-81.257	0.768157	0.0711075	
139	81.9131	-81.257	0.903983	0.0711075	
140	81.9131	-81.257	0.850049	0.0711075	
141	81.9131	-81.257	-1.17307	0.0711075	
142	80.671	-80.0538	0.619018	0.0942801	
143	80.671	-80.0538	-1.90049	0.0942801	
144	80.671	-80.0538	0.547556	0.0942801	
145	80.671	-80.0538	-1.51179	0.0942801	
146	80.671	-80.0538	0.546513	0.0942801	
147	80.671	-80.0538	2.83302	0.0942801	
148	80.671	-80.0538	-0.183697	0.0942801	
149	80.671	-80.0538	0.762725	0.0942801	
150	80.671	-80.0538	-0.394611	0.0942801	
151	80.671	-80.0538	0.93252	0.0942801	
152	80.671	-80.0538	0.944651	0.0942801	
153	80.671	-80.0538	0.768214	0.0942801	
154	80.671	-80.0538	0.838461	0.0942801	
155	80.671	-80.0538	0.483876	0.0942801	
156	80.671	-80.0538	0.823627	0.0942801	
157	80.671	-80.0538	0.932155	0.0942801	
158	80.671	-80.0538	0.776283	0.0942801	
159	80.671	-80.0538	-2.40433	0.0942801	
160	80.671	-80.0538	-0.594951	0.0942801	
161	80.671	-80.0538	1.7857	0.0942801	
162	80.671	-80.0538	0.908705	0.0942801	
163	80.671	-80.0538	-0.370347	0.0942801	
164	80.671	-80.0538	0.836822	0.0942801	
165	80.671	-80.0538	-0.793114	0.0942801	
