label	xPos	yPos	vote	north	
313	66.0289	-69.4528	-2.47969	0.357498	
314	66.0289	-69.4528	-2.01592	0.357498	
315	66.0289	-69.4528	-2.42963	0.357498	
316	66.0289	-69.4528	-2.54473	0.357498	
317	66.0289	-69.4528	-2.5099	0.357498	
318	66.0289	-69.4528	-2.59041	0.357498	
319	66.0289	-69.4528	-2.43992	0.357498	
320	66.0289	-69.4528	-2.66608	0.357498	
321	66.0289	-69.4528	-0.598794	0.357498	
322	66.0289	-69.4528	-1.48689	0.357498	
323	66.0289	-69.4528	-2.74032	0.357498	
324	66.0289	-69.4528	-1.43127	0.357498	
325	66.0289	-69.4528	0.852444	0.357498	
326	66.0289	-69.4528	-2.58816	0.357498	
327	66.0289	-69.4528	-0.611972	0.357498	
328	66.0289	-69.4528	-2.37952	0.357498	
329	66.0289	-69.4528	-1.93934	0.357498	
330	66.0289	-69.4528	-1.56141	0.357498	
331	66.0289	-69.4528	-1.56678	0.357498	
332	66.0289	-69.4528	-2.19151	0.357498	
333	66.0289	-69.4528	-2.01602	0.357498	
334	66.0289	-69.4528	-1.55259	0.357498	
335	66.0289	-69.4528	-0.868241	0.357498	
336	66.0289	-69.4528	0.987086	0.357498	
337	66.0289	-69.4528	0.548714	0.357498	
338	63.1039	-69.4528	-2.37036	0.333374	
339	63.1039	-69.4528	-2.81633	0.333374	
340	63.1039	-69.4528	-2.42258	0.333374	
341	63.1039	-69.4528	0.367311	0.333374	
342	63.1039	-69.4528	-1.23202	0.333374	
343	63.1039	-69.4528	-2.33585	0.333374	
344	63.1039	-69.4528	-2.45723	0.333374	
345	63.1039	-69.4528	-2.07679	0.333374	
346	63.1039	-69.4528	-1.94005	0.333374	
347	63.1039	-69.4528	-1.67821	0.333374	
348	63.1039	-69.4528	0.483011	0.333374	
349	63.1039	-69.4528	-1.67801	0.333374	
350	63.1039	-69.4528	-2.62684	0.333374	
351	63.1039	-69.4528	-2.74287	0.333374	
352	63.1039	-69.4528	0.102361	0.333374	
353	63.1039	-69.4528	-2.32112	0.333374	
354	63.1039	-69.4528	-1.98825	0.333374	
355	63.1039	-69.4528	0.110917	0.333374	
356	63.1039	-69.4528	1.22542	0.333374	
357	63.1039	-69.4528	0.111149	0.333374	
358	63.1039	-69.4528	-0.335861	0.333374	
359	63.1039	-69.4528	-1.40439	0.333374	
360	63.1039	-69.4528	-1.16576	0.333374	
361	63.1039	-69.4528	-0.303737	0.333374	
362	60.224	-69.4528	-2.70629	0.39597	
363	60.224	-69.4528	0.99117	0.39597	
364	60.224	-69.4528	-1.47407	0.39597	
365	60.224	-69.4528	-2.62513	0.39597	
366	60.224	-69.4528	-1.82037	0.39597	
367	60.224	-69.4528	-1.64027	0.39597	
368	60.224	-69.4528	-1.06124	0.39597	
369	60.224	-69.4528	-2.02408	0.39597	
370	60.224	-69.4528	0.990161	0.39597	
371	60.224	-69.4528	-1.05509	0.39597	
372	60.224	-69.4528	-2.41754	0.39597	
373	60.224	-69.4528	-2.32719	0.39597	
374	60.224	-69.4528	-2.32928	0.39597	
375	60.224	-69.4528	0.522448	0.39597	
376	60.224	-69.4528	-1.04514	0.39597	
377	60.224	-69.4528	-2.40052	0.39597	
378	60.224	-69.4528	-0.748474	0.39597	
379	60.224	-69.4528	0.716939	0.39597	
380	60.224	-69.4528	-1.79516	0.39597	
381	60.224	-69.4528	-2.66306	0.39597	
382	60.224	-69.4528	-1.74208	0.39597	
383	60.224	-69.4528	-1.05856	0.39597	
384	60.224	-69.4528	-1.46955	0.39597	
385	57.299	-69.4528	-2.27129	0.297651	
386	57.299	-69.4528	-0.0979625	0.297651	
387	57.299	-69.4528	-2.01769	0.297651	
388	57.299	-69.4528	1.07445	0.297651	
389	57.299	-69.4528	-2.31091	0.297651	
390	57.299	-69.4528	0.128022	0.297651	
391	57.299	-69.4528	-1.69117	0.297651	
392	57.299	-69.4528	-1.69347	0.297651	
393	57.299	-69.4528	-1.61559	0.297651	
394	57.299	-69.4528	-2.18851	0.297651	
395	57.299	-69.4528	-1.91266	0.297651	
396	57.299	-69.4528	-2.18144	0.297651	
397	57.299	-69.4528	-1.31092	0.297651	
398	57.299	-69.4528	-1.61317	0.297651	
399	57.299	-69.4528	-1.31619	0.297651	
400	57.299	-69.4528	-2.31813	0.297651	
401	57.299	-69.4528	-0.665437	0.297651	
402	57.299	-69.4528	-1.78349	0.297651	
403	57.299	-69.4528	-1.16325	0.297651	
404	57.299	-69.4528	-2.0833	0.297651	
405	57.299	-69.4528	-1.53677	0.297651	
406	57.299	-69.4528	-1.53368	0.297651	
407	57.299	-69.4528	-1.70492	0.297651	
408	57.299	-69.4528	-2.26321	0.297651	
409	57.299	-69.4528	0.634476	0.297651	
410	57.299	-69.4528	1.25248	0.297651	
411	57.299	-69.4528	1.2645	0.297651	
412	57.299	-69.4528	-1.45685	0.297651	
413	57.299	-69.4528	-1.27862	0.297651	
414	57.299	-69.4528	-2.2485	0.297651	
415	54.4665	-69.4189	-0.736079	0.269337	
416	54.4665	-69.4189	1.09026	0.269337	
417	54.4665	-69.4189	-1.45217	0.269337	
418	54.4665	-69.4189	-2.12601	0.269337	
419	54.4665	-69.4189	-2.13248	0.269337	
420	54.4665	-69.4189	0.96689	0.269337	
421	54.4665	-69.4189	-1.731	0.269337	
422	54.4665	-69.4189	-1.44748	0.269337	
423	54.4665	-69.4189	-1.80568	0.269337	
424	54.4665	-69.4189	0.820183	0.269337	
425	54.4665	-69.4189	0.139893	0.269337	
426	54.4665	-69.4189	-0.480951	0.269337	
427	54.4665	-69.4189	-2.04583	0.269337	
428	54.4665	-69.4189	-1.84456	0.269337	
429	54.4665	-69.4189	0.547076	0.269337	
430	54.4665	-69.4189	0.120908	0.269337	
431	54.4665	-69.4189	-0.470737	0.269337	
